Time,VirtualPosition,RealPosition,Recommendation
"2022-05-17 21:09:22","(0.000000,1.117600,0.000000)","(0.000000,1.117600,0.000000)",0.000000
"2022-05-17 21:09:22","(-0.079172,1.118815,0.313131)","(-0.888976,1.131242,3.515964)",0.000000
"2022-05-17 21:09:22","(-0.054785,1.124212,0.344532)","(0.194656,1.179416,0.665716)",0.000000
"2022-05-17 21:09:22","(-0.054785,1.124212,0.344532)","(0.194656,1.179416,0.665716)",0.000000
"2022-05-17 21:09:23","(-0.019350,1.137039,0.382724)","(0.343090,1.268238,0.773365)",0.000000
"2022-05-17 21:09:23","(-0.005632,1.138654,0.397779)","(0.134682,1.155173,0.551759)",0.250000
"2022-05-17 21:09:23","(0.004616,1.139695,0.409953)","(0.109433,1.150343,0.534480)",0.250000
"2022-05-17 21:09:23","(0.018517,1.140802,0.425586)","(0.160711,1.152125,0.585482)",0.250000
"2022-05-17 21:09:23","(0.028579,1.140497,0.436965)","(0.131491,1.137377,0.553363)",0.250000
"2022-05-17 21:09:23","(1.001873,1.140458,0.453253)","(0.177846,1.140059,0.619851)",RESET:110.000000
"2022-05-17 21:09:23","(0.054465,1.137876,0.472293)","(0.183268,1.111467,0.667043)",0.000000
"2022-05-17 21:09:23","(0.063235,1.135398,0.488489)","(0.152934,1.110052,0.654141)",0.000000
"2022-05-17 21:09:23","(0.073690,1.132475,0.511999)","(0.180634,1.102577,0.752473)",0.000000
"2022-05-17 21:09:23","(0.082579,1.131275,0.536241)","(0.173499,1.119001,0.784192)",0.000000
"2022-05-17 21:09:27","(1.946363,1.061713,1.313600)","(21.009888,0.350204,9.264743)",0.000000
"2022-05-17 21:09:27","(1.978073,1.059236,1.303504)","(2.302416,1.033901,1.200239)",0.000000
"2022-05-17 21:09:27","(2.019107,1.064782,1.289115)","(2.438820,1.121508,1.141938)",0.000000
"2022-05-17 21:09:27","(2.061492,1.070810,1.272199)","(2.495021,1.132466,1.099176)",0.000000
"2022-05-17 21:09:27","(2.091556,1.074579,1.259410)","(2.399064,1.113130,1.128599)",0.000000
"2022-05-17 21:09:27","(2.130824,1.075350,1.243772)","(2.532473,1.083237,1.083820)",0.000000
"2022-05-17 21:09:27","(2.160697,1.074983,1.231573)","(2.466249,1.071229,1.106796)",0.000000
"2022-05-17 21:09:27","(2.201335,1.072697,1.213809)","(2.616996,1.049315,1.032112)",0.000000
"2022-05-17 21:09:27","(2.240697,1.065501,1.196208)","(2.643307,0.991897,1.016178)",0.000000
"2022-05-17 21:09:27","(2.267313,1.059186,1.183265)","(2.539553,0.994594,1.050878)",0.000000
"2022-05-17 21:09:27","(2.301007,1.056964,1.165283)","(2.645643,1.034237,0.981356)",0.000000
"2022-05-17 21:09:27","(2.333364,1.056567,1.146302)","(2.664324,1.052505,0.952157)",0.000000
"2022-05-17 21:09:28","(2.360067,1.069902,1.128131)","(2.633195,1.206298,0.942271)",0.000000
"2022-05-17 21:09:28","(2.393364,1.066932,1.106108)","(2.733940,1.036554,0.880847)",0.000000
"2022-05-17 21:09:28","(2.417014,1.065579,1.090789)","(2.658915,1.051741,0.934100)",0.000000
"2022-05-17 21:09:28","(2.455313,1.071229,1.068597)","(2.847051,1.129019,0.841608)",0.000000
"2022-05-17 21:09:28","(2.491043,1.074893,1.049838)","(2.856505,1.112370,0.857963)",RESET:110.000000
"2022-05-17 21:09:28","(2.517040,1.075079,1.036759)","(2.782947,1.076981,0.902983)",0.000000
"2022-05-17 21:09:28","(2.553957,1.075100,1.018553)","(2.931559,1.075315,0.832335)",0.000000
"2022-05-17 21:09:28","(2.592968,1.073122,1.000049)","(2.991988,1.052891,0.810782)",0.000000
"2022-05-17 21:09:32","(2.309786,1.032850,-0.960626)","(-0.586712,0.620932,-21.015196)",0.000000
"2022-05-17 21:09:32","(2.288994,1.032982,-0.983577)","(2.076325,1.034332,-1.218325)",0.000000
"2022-05-17 21:09:32","(2.258157,1.032882,-1.015495)","(1.942743,1.031859,-1.341967)",0.000000
"2022-05-17 21:09:32","(2.225186,1.029785,-1.047424)","(1.887946,0.998108,-1.374007)",0.000000
"2022-05-17 21:09:32","(2.199758,1.025149,-1.069376)","(1.939670,0.977730,-1.293910)",0.000000
"2022-05-17 21:09:32","(2.167395,1.017771,-1.094780)","(1.836374,0.942306,-1.354622)",0.000000
"2022-05-17 21:09:32","(2.143170,1.016456,-1.112230)","(1.895387,1.003006,-1.290715)",0.000000
"2022-05-17 21:09:32","(2.108779,1.022814,-1.137401)","(1.757012,1.087846,-1.394860)",0.000000
"2022-05-17 21:09:32","(2.071306,1.031206,-1.165592)","(1.688018,1.117043,-1.453940)",0.000000
"2022-05-17 21:09:32","(2.046629,1.030138,-1.183024)","(1.794222,1.019214,-1.361326)",0.000000
"2022-05-17 21:09:32","(2.014666,1.035155,-1.207095)","(1.687737,1.086471,-1.453303)",0.000000
"2022-05-17 21:09:32","(1.980536,1.040396,-1.234866)","(1.631440,1.094002,-1.518919)",0.000000
"2022-05-17 21:09:32","(1.955794,1.040723,-1.255164)","(1.702723,1.044068,-1.462780)",0.000000
"2022-05-17 21:09:33","(1.922437,1.040224,-1.281602)","(1.581248,1.035120,-1.552020)",0.000000
"2022-05-17 21:09:33","(1.896161,1.039528,-1.302136)","(1.627400,1.032410,-1.512165)",0.000000
"2022-05-17 21:09:33","(1.859763,1.038165,-1.331704)","(1.487470,1.024223,-1.634138)",0.000000
"2022-05-17 21:09:33","(1.823462,1.032620,-1.362277)","(1.452161,0.975903,-1.674990)",0.000000
"2022-05-17 21:09:33","(1.798437,1.024187,-1.385771)","(1.542471,0.937931,-1.626077)",RESET:110.000000
"2022-05-17 21:09:33","(1.770413,1.015342,-1.415493)","(1.483773,0.924872,-1.719501)",0.000000
"2022-05-17 21:09:33","(1.742814,1.021999,-1.447823)","(1.460519,1.090090,-1.778508)",0.000000
"2022-05-17 21:09:33","(1.718937,1.031048,-1.475725)","(1.474714,1.123605,-1.761118)",0.000000
"2022-05-17 21:09:33","(1.693594,1.027593,-1.503024)","(1.434375,0.992253,-1.782248)",0.000000
"2022-05-17 21:09:33","(1.673580,1.031701,-1.522664)","(1.468870,1.073719,-1.723549)",0.000000
"2022-05-17 21:09:33","(1.645447,1.036082,-1.550922)","(1.357691,1.080893,-1.839957)",0.000000
"2022-05-17 21:09:37","(-0.605511,1.092153,-0.649770)","(-23.629207,1.665669,8.567576)",0.000000
"2022-05-17 21:09:37","(-0.618447,1.096353,-0.615330)","(-0.750770,1.139313,-0.263063)",0.000000
"2022-05-17 21:09:37","(-0.634667,1.105968,-0.576311)","(-0.800564,1.204313,-0.177208)",0.000000
