17-05-2022_21-19-22 | Received virt pos: (0.000000,1.117600,0.000000)
17-05-2022_21-19-22 | Received real pos: (0.000000,1.117600,0.000000)
17-05-2022_21-19-22 | Recommend Rotation: 0.000000
17-05-2022_21-19-22 | Received virt pos: (-0.078380,1.118815,0.309999)
17-05-2022_21-19-22 | Received real pos: (-0.880086,1.131242,3.480800)
17-05-2022_21-19-22 | Recommend Rotation: 0.000000
17-05-2022_21-19-22 | Received virt pos: (-0.054237,1.124212,0.341085)
17-05-2022_21-19-22 | Received real pos: (0.192709,1.179416,0.659053)
17-05-2022_21-19-22 | Recommend Rotation: 0.000000
17-05-2022_21-19-22 | Received virt pos: (-0.054237,1.124212,0.341085)
17-05-2022_21-19-22 | Received real pos: (0.192709,1.179416,0.659053)
17-05-2022_21-19-22 | Recommend Rotation: 0.000000
17-05-2022_21-19-23 | Received virt pos: (-0.019156,1.137039,0.378893)
17-05-2022_21-19-23 | Received real pos: (0.339659,1.268238,0.765626)
17-05-2022_21-19-23 | Recommend Rotation: 0.000000
17-05-2022_21-19-23 | Received virt pos: (-0.005576,1.138654,0.393792)
17-05-2022_21-19-23 | Received real pos: (0.133335,1.155173,0.546233)
17-05-2022_21-19-23 | Recommend Rotation: 0.250000
17-05-2022_21-19-23 | Received virt pos: (0.004570,1.139695,0.405851)
17-05-2022_21-19-23 | Received real pos: (0.108339,1.150343,0.529135)
17-05-2022_21-19-23 | Recommend Rotation: 0.250000
17-05-2022_21-19-23 | Received virt pos: (0.018332,1.140802,0.421324)
17-05-2022_21-19-23 | Received real pos: (0.159104,1.152125,0.579625)
17-05-2022_21-19-23 | Recommend Rotation: 0.250000
17-05-2022_21-19-23 | Received virt pos: (0.028293,1.140497,0.432590)
17-05-2022_21-19-23 | Received real pos: (0.130176,1.137377,0.547826)
17-05-2022_21-19-23 | Recommend Rotation: 0.250000
17-05-2022_21-19-23 | Received virt pos: (0.991854,1.140458,0.448717)
17-05-2022_21-19-23 | Received real pos: (0.176068,1.140059,0.613652)
17-05-2022_21-19-23 | Recommend Rotation: RESET:110.000000
17-05-2022_21-19-23 | Received virt pos: (0.053920,1.137876,0.467567)
17-05-2022_21-19-23 | Received real pos: (0.181435,1.111467,0.660370)
17-05-2022_21-19-23 | Recommend Rotation: 0.000000
17-05-2022_21-19-23 | Received virt pos: (0.062603,1.135398,0.483595)
17-05-2022_21-19-23 | Received real pos: (0.151405,1.110052,0.647599)
17-05-2022_21-19-23 | Recommend Rotation: 0.000000
17-05-2022_21-19-23 | Received virt pos: (0.072953,1.132475,0.506870)
17-05-2022_21-19-23 | Received real pos: (0.178828,1.102577,0.744945)
17-05-2022_21-19-23 | Recommend Rotation: 0.000000
17-05-2022_21-19-23 | Received virt pos: (0.081753,1.131275,0.530878)
17-05-2022_21-19-23 | Received real pos: (0.171764,1.119001,0.776348)
17-05-2022_21-19-23 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (1.926899,1.061713,1.300464)
17-05-2022_21-19-27 | Received real pos: (20.799789,0.350204,9.172093)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (1.958292,1.059236,1.290465)
17-05-2022_21-19-27 | Received real pos: (2.279392,1.033901,1.188228)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (1.998916,1.064782,1.276219)
17-05-2022_21-19-27 | Received real pos: (2.414432,1.121508,1.130511)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (2.040877,1.070810,1.259468)
17-05-2022_21-19-27 | Received real pos: (2.470071,1.132466,1.088178)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (2.070640,1.074579,1.246816)
17-05-2022_21-19-27 | Received real pos: (2.375073,1.113130,1.117304)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (2.109516,1.075350,1.231332)
17-05-2022_21-19-27 | Received real pos: (2.507148,1.083237,1.072982)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (2.139090,1.074983,1.219254)
17-05-2022_21-19-27 | Received real pos: (2.441587,1.071229,1.095722)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (2.179322,1.072697,1.201662)
17-05-2022_21-19-27 | Received real pos: (2.590826,1.049315,1.021789)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (2.218290,1.065501,1.184238)
17-05-2022_21-19-27 | Received real pos: (2.616874,0.991897,1.006008)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (2.244640,1.059186,1.171427)
17-05-2022_21-19-27 | Received real pos: (2.514157,0.994594,1.040361)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (2.277997,1.056964,1.153627)
17-05-2022_21-19-27 | Received real pos: (2.619187,1.034237,0.971536)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-27 | Received virt pos: (2.310030,1.056567,1.134837)
17-05-2022_21-19-27 | Received real pos: (2.637681,1.052505,0.942629)
17-05-2022_21-19-27 | Recommend Rotation: 0.000000
17-05-2022_21-19-28 | Received virt pos: (2.336466,1.069902,1.116849)
17-05-2022_21-19-28 | Received real pos: (2.606863,1.206298,0.932847)
17-05-2022_21-19-28 | Recommend Rotation: 0.000000
17-05-2022_21-19-28 | Received virt pos: (2.369430,1.066932,1.095039)
17-05-2022_21-19-28 | Received real pos: (2.706601,1.036554,0.872032)
17-05-2022_21-19-28 | Recommend Rotation: 0.000000
17-05-2022_21-19-28 | Received virt pos: (2.392844,1.065579,1.079872)
17-05-2022_21-19-28 | Received real pos: (2.632326,1.051741,0.924759)
17-05-2022_21-19-28 | Recommend Rotation: 0.000000
17-05-2022_21-19-28 | Received virt pos: (2.430760,1.071229,1.057904)
17-05-2022_21-19-28 | Received real pos: (2.818580,1.129019,0.833184)
17-05-2022_21-19-28 | Recommend Rotation: 0.000000
17-05-2022_21-19-28 | Received virt pos: (2.466133,1.074893,1.039332)
17-05-2022_21-19-28 | Received real pos: (2.827940,1.112370,0.849380)
17-05-2022_21-19-28 | Recommend Rotation: RESET:110.000000
17-05-2022_21-19-28 | Received virt pos: (2.491870,1.075079,1.026382)
17-05-2022_21-19-28 | Received real pos: (2.755118,1.076981,0.893950)
17-05-2022_21-19-28 | Recommend Rotation: 0.000000
17-05-2022_21-19-28 | Received virt pos: (2.528417,1.075100,1.008365)
17-05-2022_21-19-28 | Received real pos: (2.902243,1.075315,0.824007)
17-05-2022_21-19-28 | Recommend Rotation: 0.000000
17-05-2022_21-19-28 | Received virt pos: (2.567038,1.073122,0.990040)
17-05-2022_21-19-28 | Received real pos: (2.962068,1.052891,0.802672)
17-05-2022_21-19-28 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.286688,1.032850,-0.951014)
17-05-2022_21-19-32 | Received real pos: (-0.580845,0.620932,-20.805038)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.266104,1.032982,-0.973734)
17-05-2022_21-19-32 | Received real pos: (2.055562,1.034332,-1.206137)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.235575,1.032882,-1.005335)
17-05-2022_21-19-32 | Received real pos: (1.923316,1.031859,-1.328540)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.202934,1.029785,-1.036946)
17-05-2022_21-19-32 | Received real pos: (1.869067,0.998108,-1.360260)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.177760,1.025149,-1.058676)
17-05-2022_21-19-32 | Received real pos: (1.920273,0.977730,-1.280971)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.145721,1.017771,-1.083832)
17-05-2022_21-19-32 | Received real pos: (1.818010,0.942306,-1.341074)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.121738,1.016456,-1.101108)
17-05-2022_21-19-32 | Received real pos: (1.876433,1.003006,-1.277803)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.087691,1.022814,-1.126026)
17-05-2022_21-19-32 | Received real pos: (1.739442,1.087846,-1.380911)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.050593,1.031206,-1.153934)
17-05-2022_21-19-32 | Received real pos: (1.671138,1.117043,-1.439401)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (2.026163,1.030138,-1.171190)
17-05-2022_21-19-32 | Received real pos: (1.776280,1.019214,-1.347707)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (1.994519,1.035155,-1.195019)
17-05-2022_21-19-32 | Received real pos: (1.670860,1.086471,-1.438767)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (1.960731,1.040396,-1.222511)
17-05-2022_21-19-32 | Received real pos: (1.615126,1.094002,-1.503721)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-32 | Received virt pos: (1.936236,1.040723,-1.242608)
17-05-2022_21-19-32 | Received real pos: (1.685696,1.044068,-1.448152)
17-05-2022_21-19-32 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.903213,1.040224,-1.268784)
17-05-2022_21-19-33 | Received real pos: (1.565436,1.035120,-1.536500)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.877199,1.039528,-1.289109)
17-05-2022_21-19-33 | Received real pos: (1.611126,1.032410,-1.497038)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.841165,1.038165,-1.318383)
17-05-2022_21-19-33 | Received real pos: (1.472595,1.024223,-1.617789)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.805227,1.032620,-1.348647)
17-05-2022_21-19-33 | Received real pos: (1.437639,0.975903,-1.658240)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.780453,1.024187,-1.371912)
17-05-2022_21-19-33 | Received real pos: (1.527046,0.937931,-1.609809)
17-05-2022_21-19-33 | Recommend Rotation: RESET:110.000000
17-05-2022_21-19-33 | Received virt pos: (1.752709,1.015342,-1.401335)
17-05-2022_21-19-33 | Received real pos: (1.468935,0.924872,-1.702305)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.725386,1.021999,-1.433342)
17-05-2022_21-19-33 | Received real pos: (1.445914,1.090090,-1.760715)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.701748,1.031048,-1.460963)
17-05-2022_21-19-33 | Received real pos: (1.459967,1.123605,-1.743499)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.676658,1.027593,-1.487990)
17-05-2022_21-19-33 | Received real pos: (1.420031,0.992253,-1.764418)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.656844,1.031701,-1.507433)
17-05-2022_21-19-33 | Received real pos: (1.454181,1.073719,-1.706305)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
17-05-2022_21-19-33 | Received virt pos: (1.628993,1.036082,-1.535411)
17-05-2022_21-19-33 | Received real pos: (1.344114,1.080893,-1.821550)
17-05-2022_21-19-33 | Recommend Rotation: 0.000000
