17-05-2022_21-03-06 | Received virt pos: (0.000000,1.117600,0.000000)
17-05-2022_21-03-06 | Received real pos: (0.000000,1.117600,0.000000)
17-05-2022_21-03-06 | Recommend Rotation: 0.000000
17-05-2022_21-03-06 | Received virt pos: (0.015226,1.112402,0.146189)
17-05-2022_21-03-06 | Received real pos: (0.170960,1.059235,1.641471)
17-05-2022_21-03-06 | Recommend Rotation: 0.000000
17-05-2022_21-03-06 | Received virt pos: (0.014862,1.112104,0.151329)
17-05-2022_21-03-06 | Received real pos: (0.011142,1.109057,0.203896)
17-05-2022_21-03-06 | Recommend Rotation: 0.000000
17-05-2022_21-03-06 | Received virt pos: (0.014862,1.112104,0.151329)
17-05-2022_21-03-06 | Received real pos: (0.011142,1.109057,0.203896)
17-05-2022_21-03-06 | Recommend Rotation: 0.000000
17-05-2022_21-03-06 | Received virt pos: (0.014544,1.111556,0.156637)
17-05-2022_21-03-06 | Received real pos: (0.011296,1.105951,0.210936)
17-05-2022_21-03-06 | Recommend Rotation: 0.000000
17-05-2022_21-03-06 | Received virt pos: (0.014272,1.111330,0.157763)
17-05-2022_21-03-06 | Received real pos: (0.011486,1.109018,0.169284)
17-05-2022_21-03-06 | Recommend Rotation: -0.250000
17-05-2022_21-03-06 | Received virt pos: (0.013973,1.111429,0.159193)
17-05-2022_21-03-06 | Received real pos: (0.010920,1.112441,0.173814)
17-05-2022_21-03-06 | Recommend Rotation: -0.250000
17-05-2022_21-03-06 | Received virt pos: (0.013650,1.111531,0.160310)
17-05-2022_21-03-06 | Received real pos: (0.010345,1.112575,0.171739)
17-05-2022_21-03-06 | Recommend Rotation: -0.250000
17-05-2022_21-03-06 | Received virt pos: (0.013367,1.111475,0.161953)
17-05-2022_21-03-06 | Received real pos: (0.010469,1.110902,0.178755)
17-05-2022_21-03-06 | Recommend Rotation: -0.229351
17-05-2022_21-03-06 | Received virt pos: (0.013161,1.111297,0.164179)
17-05-2022_21-03-06 | Received real pos: (0.011050,1.109477,0.186951)
17-05-2022_21-03-06 | Recommend Rotation: -0.151504
17-05-2022_21-03-06 | Received virt pos: (0.012997,1.111086,0.166333)
17-05-2022_21-03-06 | Received real pos: (0.011328,1.108928,0.188359)
17-05-2022_21-03-06 | Recommend Rotation: -0.135755
17-05-2022_21-03-06 | Received virt pos: (0.013481,1.110611,0.169867)
17-05-2022_21-03-06 | Received real pos: (0.018426,1.105752,0.206017)
17-05-2022_21-03-06 | Recommend Rotation: 0.046684
17-05-2022_21-03-06 | Received virt pos: (0.014895,1.109800,0.175226)
17-05-2022_21-03-06 | Received real pos: (0.029354,1.101505,0.230042)
17-05-2022_21-03-06 | Recommend Rotation: 0.130872
17-05-2022_21-03-06 | Received virt pos: (0.016724,1.108490,0.181157)
17-05-2022_21-03-06 | Received real pos: (0.035437,1.095091,0.241821)
17-05-2022_21-03-06 | Recommend Rotation: 0.153561
17-05-2022_21-03-06 | Received virt pos: (0.019671,1.107296,0.190370)
17-05-2022_21-03-06 | Received real pos: (0.049810,1.095083,0.284604)
17-05-2022_21-03-06 | Recommend Rotation: 0.136054
17-05-2022_21-03-06 | Received virt pos: (0.022484,1.106533,0.199036)
17-05-2022_21-03-06 | Received real pos: (0.051264,1.098729,0.287670)
17-05-2022_21-03-06 | Recommend Rotation: 0.137348
17-05-2022_21-03-06 | Received virt pos: (0.026103,1.105656,0.212181)
17-05-2022_21-03-06 | Received real pos: (0.063110,1.096685,0.346639)
17-05-2022_21-03-06 | Recommend Rotation: 0.088105
17-05-2022_21-03-06 | Received virt pos: (0.029508,1.105956,0.229594)
17-05-2022_21-03-06 | Received real pos: (0.064343,1.109024,0.407698)
17-05-2022_21-03-07 | Recommend Rotation: 0.036030
17-05-2022_21-03-07 | Received virt pos: (0.031840,1.105011,0.245426)
17-05-2022_21-03-07 | Received real pos: (0.055690,1.095345,0.407366)
17-05-2022_21-03-07 | Recommend Rotation: 0.009929
17-05-2022_21-03-07 | Received virt pos: (0.035009,1.097218,0.268881)
17-05-2022_21-03-07 | Received real pos: (0.067427,1.017509,0.508784)
17-05-2022_21-03-07 | Recommend Rotation: 0.002549
17-05-2022_21-03-07 | Received virt pos: (0.037433,1.094775,0.298501)
17-05-2022_21-03-07 | Received real pos: (0.062227,1.069786,0.601463)
17-05-2022_21-03-07 | Recommend Rotation: RESET:110.000000
17-05-2022_21-03-07 | Received virt pos: (0.036603,1.094859,0.323423)
17-05-2022_21-03-07 | Received real pos: (0.028115,1.095719,0.578339)
17-05-2022_21-03-07 | Recommend Rotation: 0.000000
17-05-2022_21-03-07 | Received virt pos: (0.033945,1.093629,0.360463)
17-05-2022_21-03-07 | Received real pos: (0.006754,1.081048,0.739320)
17-05-2022_21-03-07 | Recommend Rotation: 0.000000
17-05-2022_21-03-07 | Received virt pos: (0.030871,1.091119,0.390154)
17-05-2022_21-03-07 | Received real pos: (-0.000577,1.065446,0.693853)
17-05-2022_21-03-07 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (1.785360,1.060970,0.352490)
17-05-2022_21-03-11 | Received real pos: (19.730980,0.752593,-0.032752)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (1.820041,1.056397,0.329617)
17-05-2022_21-03-11 | Received real pos: (2.174772,1.009623,0.095659)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (1.844467,1.052971,0.312425)
17-05-2022_21-03-11 | Received real pos: (2.094307,1.017929,0.136580)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (1.876731,1.048048,0.287609)
17-05-2022_21-03-11 | Received real pos: (2.206740,0.997694,0.033775)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (1.909104,1.044856,0.261886)
17-05-2022_21-03-11 | Received real pos: (2.240227,1.012206,-0.001219)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (1.935767,1.050273,0.241546)
17-05-2022_21-03-11 | Received real pos: (2.208488,1.105680,0.033507)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (1.970183,1.055745,0.213792)
17-05-2022_21-03-11 | Received real pos: (2.322203,1.111715,-0.070091)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (2.001878,1.057726,0.189330)
17-05-2022_21-03-11 | Received real pos: (2.326067,1.077989,-0.060874)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (2.026181,1.060393,0.171116)
17-05-2022_21-03-11 | Received real pos: (2.274761,1.087672,-0.015181)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (2.059215,1.061232,0.147566)
17-05-2022_21-03-11 | Received real pos: (2.397101,1.069814,-0.093319)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (2.081910,1.062672,0.131445)
17-05-2022_21-03-11 | Received real pos: (2.314042,1.077401,-0.033441)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (2.114732,1.064642,0.110956)
17-05-2022_21-03-11 | Received real pos: (2.450450,1.084791,-0.098621)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-11 | Received virt pos: (2.149981,1.065661,0.090498)
17-05-2022_21-03-11 | Received real pos: (2.510522,1.076084,-0.118752)
17-05-2022_21-03-11 | Recommend Rotation: 0.000000
17-05-2022_21-03-12 | Received virt pos: (2.175223,1.064228,0.075387)
17-05-2022_21-03-12 | Received real pos: (2.433409,1.049572,-0.079169)
17-05-2022_21-03-12 | Recommend Rotation: 0.000000
17-05-2022_21-03-12 | Received virt pos: (2.210556,1.059992,0.054295)
17-05-2022_21-03-12 | Received real pos: (2.571955,1.016663,-0.161447)
17-05-2022_21-03-12 | Recommend Rotation: 0.000000
17-05-2022_21-03-12 | Received virt pos: (2.246333,1.054434,0.034838)
17-05-2022_21-03-12 | Received real pos: (2.612273,0.997584,-0.164180)
17-05-2022_21-03-12 | Recommend Rotation: 0.000000
17-05-2022_21-03-12 | Received virt pos: (2.274739,1.051110,0.021665)
17-05-2022_21-03-12 | Received real pos: (2.565288,1.017112,-0.113075)
17-05-2022_21-03-12 | Recommend Rotation: 0.000000
17-05-2022_21-03-12 | Received virt pos: (2.313056,1.048029,0.005277)
17-05-2022_21-03-12 | Received real pos: (2.704977,1.016514,-0.162340)
17-05-2022_21-03-12 | Recommend Rotation: RESET:110.000000
17-05-2022_21-03-12 | Received virt pos: (2.341104,1.044310,-0.004547)
17-05-2022_21-03-12 | Received real pos: (2.627991,1.006271,-0.105028)
17-05-2022_21-03-12 | Recommend Rotation: 0.000000
17-05-2022_21-03-12 | Received virt pos: (2.380202,1.043761,-0.018589)
17-05-2022_21-03-12 | Received real pos: (2.780112,1.038146,-0.162215)
17-05-2022_21-03-12 | Recommend Rotation: 0.000000
17-05-2022_21-03-12 | Received virt pos: (2.400072,1.044378,-0.026381)
17-05-2022_21-03-12 | Received real pos: (2.603311,1.050689,-0.106086)
17-05-2022_21-03-12 | Recommend Rotation: 0.000000
17-05-2022_21-03-12 | Received virt pos: (2.450037,1.043460,-0.046607)
17-05-2022_21-03-12 | Received real pos: (2.961098,1.034070,-0.253487)
17-05-2022_21-03-12 | Recommend Rotation: 0.000000
17-05-2022_21-03-16 | Received virt pos: (1.146487,1.020967,-2.061040)
17-05-2022_21-03-16 | Received real pos: (-12.186744,0.790900,-22.665466)
17-05-2022_21-03-16 | Recommend Rotation: 0.000000
17-05-2022_21-03-16 | Received virt pos: (1.124790,1.021625,-2.081888)
17-05-2022_21-03-16 | Received real pos: (0.902864,1.028356,-2.295130)
17-05-2022_21-03-16 | Recommend Rotation: 0.000000
17-05-2022_21-03-16 | Received virt pos: (1.095450,1.021739,-2.111267)
17-05-2022_21-03-16 | Received real pos: (0.795350,1.022905,-2.411769)
17-05-2022_21-03-16 | Recommend Rotation: 0.000000
17-05-2022_21-03-16 | Received virt pos: (1.066473,1.020527,-2.142510)
17-05-2022_21-03-16 | Received real pos: (0.770084,1.008130,-2.462074)
17-05-2022_21-03-16 | Recommend Rotation: 0.000000
17-05-2022_21-03-16 | Received virt pos: (1.045096,1.015681,-2.167095)
17-05-2022_21-03-16 | Received real pos: (0.826444,0.966114,-2.418560)
17-05-2022_21-03-16 | Recommend Rotation: 0.000000
17-05-2022_21-03-16 | Received virt pos: (1.017377,1.010011,-2.198863)
17-05-2022_21-03-16 | Received real pos: (0.733856,0.952015,-2.523800)
17-05-2022_21-03-16 | Recommend Rotation: 0.000000
17-05-2022_21-03-16 | Received virt pos: (0.989967,1.005688,-2.231571)
17-05-2022_21-03-16 | Received real pos: (0.709602,0.961471,-2.566121)
17-05-2022_21-03-16 | Recommend Rotation: 0.000000
17-05-2022_21-03-16 | Received virt pos: (0.969390,1.007634,-2.256606)
