Time,VirtualPosition,RealPosition,Recommendation
"2022-06-15 15:39:43","(0.000000,1.117600,0.000000)","(0.000000,1.117600,0.000000)",0.000000
"2022-06-15 15:39:43","(-0.065095,1.130142,0.180630)","(-0.730920,1.258427,2.028240)",0.000000
"2022-06-15 15:39:43","(-0.072480,1.130253,0.186721)","(-0.148024,1.131388,0.249026)",0.000000
"2022-06-15 15:39:43","(-0.072480,1.130253,0.186721)","(-0.148024,1.131388,0.249026)",0.000000
"2022-06-15 15:39:43","(-0.081765,1.127813,0.182380)","(-0.176719,1.102856,0.137943)",0.000000
"2022-06-15 15:39:43","(-0.083929,1.128728,0.179253)","(-0.106068,1.138088,0.147339)",0.250000
"2022-06-15 15:39:43","(-0.085662,1.129968,0.174539)","(-0.103392,1.142651,0.126230)",0.250000
"2022-06-15 15:39:43","(-0.086215,1.131828,0.171412)","(-0.091865,1.150852,0.139466)",0.250000
"2022-06-15 15:39:43","(-0.086432,1.130641,0.171428)","(-0.088650,1.118500,0.171639)",-0.250000
"2022-06-15 15:39:43","(-0.086936,1.124149,0.172433)","(-0.092094,1.057746,0.182720)",0.002075
"2022-06-15 15:39:44","(-0.087699,1.122910,0.182866)","(-0.095499,1.110238,0.289543)",0.245363
"2022-06-15 15:39:44","(-0.089690,1.119150,0.198709)","(-0.110061,1.080691,0.360758)",0.170708
"2022-06-15 15:39:44","(-0.092128,1.114075,0.221697)","(-0.117063,1.062165,0.456937)",0.144685
"2022-06-15 15:39:44","(-0.091577,1.110841,0.244458)","(-0.085935,1.077763,0.477171)",0.202012
"2022-06-15 15:39:44","(-0.088718,1.110746,0.281572)","(-0.059480,1.109774,0.661268)",0.166159
"2022-06-15 15:39:44","(-0.082873,1.112221,0.328115)","(-0.023090,1.127308,0.804071)",0.153472
"2022-06-15 15:39:44","(-0.076882,1.110588,0.369068)","(-0.015599,1.093884,0.787919)",0.164946
"2022-06-15 15:39:44","(-0.065756,1.104352,0.431843)","(0.048046,1.040568,1.074076)",0.131231
"2022-06-15 15:39:44","(-0.055171,1.097839,0.484801)","(0.053099,1.031221,1.026481)",0.146189
"2022-06-15 15:39:44","(-0.040263,1.090175,0.562010)","(0.112216,1.011785,1.351712)",0.109560
"2022-06-15 15:39:44","(-0.023351,1.084956,0.641666)","(0.149635,1.031574,1.456445)",0.109140
"2022-06-15 15:39:44","(-0.010096,1.083960,0.704165)","(0.125474,1.073773,1.343450)",0.117587
"2022-06-15 15:39:44","(0.008531,1.090644,0.790965)","(0.199057,1.159010,1.678806)",0.096534
"2022-06-15 15:39:44","(0.020858,1.100323,0.853691)","(0.146944,1.199323,1.495244)",0.098126
"2022-06-15 15:39:44","(0.035222,1.110846,0.927693)","(0.182140,1.218480,1.684492)",0.086789
"2022-06-15 15:39:44","(0.046283,1.121977,0.999653)","(0.159431,1.235829,1.735765)",0.063374
"2022-06-15 15:39:44","(0.054278,1.128065,1.051202)","(0.136043,1.190336,1.578496)",0.069871
"2022-06-15 15:39:44","(0.062752,1.136260,1.118383)","(0.149427,1.220082,1.805555)",0.045333
"2022-06-15 15:39:44","(0.070295,1.141446,1.187784)","(0.147457,1.194490,1.897571)",0.033319
"2022-06-15 15:39:44","(0.075166,1.142074,1.242022)","(0.124994,1.148497,1.796758)",0.022304
"2022-06-15 15:39:45","(0.079615,1.138736,1.317400)","(0.125106,1.104594,2.088374)",0.001729
"2022-06-15 15:39:45","(0.082097,1.135364,1.377065)","(0.107490,1.100874,1.987448)",-0.010292
"2022-06-15 15:39:45","(0.082563,1.127157,1.459264)","(0.087333,1.043212,2.300076)",-0.030155
"2022-06-15 15:39:45","(0.078517,1.118276,1.546258)","(0.037130,1.027438,2.435994)",-0.060756
"2022-06-15 15:39:45","(0.071755,1.115605,1.616566)","(0.002582,1.088285,2.335684)",-0.096938
"2022-06-15 15:39:45","(0.061093,1.121046,1.714819)","(-0.047958,1.176698,2.719721)",-0.091674
"2022-06-15 15:39:45","(0.054173,1.133594,1.790602)","(-0.016608,1.261941,2.565837)",-0.084940
"2022-06-15 15:39:45","(0.049029,1.149233,1.884254)","(-0.003583,1.309194,2.842177)",-0.053689
"2022-06-15 15:39:45","(0.046799,1.155948,1.968754)","(0.023984,1.224632,2.833056)",-0.034260
"2022-06-15 15:39:45","(0.046408,1.161504,2.033375)","(0.042423,1.218333,2.694416)",-0.020757
"2022-06-15 15:39:45","(0.047513,1.167736,2.120855)","(0.058809,1.231480,3.015565)",-0.005347
"2022-06-15 15:39:45","(0.050680,1.169958,2.204804)","(0.083077,1.192685,3.063485)",0.012882
"2022-06-15 15:39:45","(0.053491,1.170162,2.267303)","(0.082241,1.172248,2.906555)",0.018864
"2022-06-15 15:39:45","(0.055994,1.167349,2.351479)","(0.081591,1.138577,3.212509)",0.006802
"2022-06-15 15:39:45","(0.058693,1.163669,2.417186)","(0.086301,1.126029,3.089275)",0.015688
"2022-06-15 15:39:46","(0.076956,1.146106,2.596747)","(0.263762,0.966465,4.433260)",0.054080
"2022-06-15 15:39:46","(0.088627,1.142657,2.666860)","(0.208008,1.107380,3.384002)",0.110321
"2022-06-15 15:39:46","(0.106013,1.138624,2.758585)","(0.283839,1.097372,3.696808)",0.120659
"2022-06-15 15:39:46","(0.123334,1.150111,2.830901)","(0.300495,1.267605,3.570512)",0.159528
"2022-06-15 15:39:46","(0.151682,1.155734,2.920293)","(0.441635,1.213248,3.834653)",0.206171
