Time,VirtualPosition,RealPosition,Recommendation
"2022-07-13 12:16:43","(0.000000,1.117600,0.000000)","(0.000000,1.117600,0.000000)",0.000000
"2022-07-13 12:16:43","(-0.057284,1.130142,0.158954)","(-0.643210,1.258427,1.784851)",0.000000
"2022-07-13 12:16:43","(-0.063782,1.130253,0.164314)","(-0.130261,1.131388,0.219138)",0.000000
"2022-07-13 12:16:43","(-0.063782,1.130253,0.164314)","(-0.130261,1.131388,0.219138)",0.000000
"2022-07-13 12:16:43","(-0.071953,1.127813,0.160494)","(-0.155513,1.102856,0.121387)",0.000000
"2022-07-13 12:16:43","(-0.073858,1.128728,0.157740)","(-0.093340,1.138088,0.129650)",0.250000
"2022-07-13 12:16:43","(-0.075383,1.129968,0.153586)","(-0.090985,1.142651,0.111082)",0.250000
"2022-07-13 12:16:43","(-0.075869,1.131828,0.150841)","(-0.080841,1.150852,0.122725)",0.250000
"2022-07-13 12:16:43","(-0.076060,1.130641,0.150850)","(-0.078012,1.118500,0.151034)",-0.250000
"2022-07-13 12:16:43","(-0.076504,1.124149,0.151738)","(-0.081043,1.057746,0.160794)",0.002075
"2022-07-13 12:16:44","(-0.077175,1.122910,0.160917)","(-0.084039,1.110238,0.254795)",0.245363
"2022-07-13 12:16:44","(-0.078927,1.119150,0.174856)","(-0.096854,1.080691,0.317460)",0.170708
"2022-07-13 12:16:44","(-0.081073,1.114075,0.195087)","(-0.103015,1.062165,0.402098)",0.144685
"2022-07-13 12:16:44","(-0.080588,1.110841,0.215116)","(-0.075623,1.077763,0.419910)",0.202012
"2022-07-13 12:16:44","(-0.078072,1.110746,0.247782)","(-0.052342,1.109774,0.581909)",0.166159
"2022-07-13 12:16:44","(-0.072928,1.112221,0.288737)","(-0.020319,1.127308,0.707582)",0.153472
"2022-07-13 12:16:44","(-0.067656,1.110588,0.324773)","(-0.013727,1.093884,0.693361)",0.164946
"2022-07-13 12:16:44","(-0.057865,1.104352,0.380019)","(0.042280,1.040568,0.945182)",0.131231
"2022-07-13 12:16:44","(-0.048550,1.097839,0.426624)","(0.046727,1.031221,0.903302)",0.146189
"2022-07-13 12:16:44","(-0.035431,1.090175,0.494569)","(0.098750,1.011785,1.189505)",0.109560
"2022-07-13 12:16:44","(-0.020549,1.084956,0.564661)","(0.131679,1.031574,1.281667)",0.109140
"2022-07-13 12:16:44","(-0.008884,1.083960,0.619661)","(0.110417,1.073773,1.182236)",0.117587
"2022-07-13 12:16:44","(0.007507,1.090644,0.696045)","(0.175170,1.159010,1.477344)",0.096534
"2022-07-13 12:16:44","(0.018355,1.100323,0.751247)","(0.129311,1.199323,1.315811)",0.098126
"2022-07-13 12:16:44","(0.030995,1.110846,0.816367)","(0.160283,1.218480,1.482351)",0.086789
"2022-07-13 12:16:44","(0.040729,1.121977,0.879692)","(0.140299,1.235829,1.527469)",0.063374
"2022-07-13 12:16:44","(0.047765,1.128065,0.925056)","(0.119718,1.190336,1.389071)",0.069871
"2022-07-13 12:16:44","(0.055222,1.136260,0.984174)","(0.131496,1.220082,1.588884)",0.045333
"2022-07-13 12:16:44","(0.061860,1.141446,1.045246)","(0.129762,1.194490,1.669862)",0.033319
"2022-07-13 12:16:44","(0.066146,1.142074,1.092978)","(0.109995,1.148497,1.581140)",0.022304
