17-05-2022_20-28-00 | Received virt pos: (0.000000,1.117600,0.000000)
17-05-2022_20-28-00 | Received real pos: (0.000000,1.117600,0.000000)
17-05-2022_20-28-00 | Recommend Rotation: 0.000000
17-05-2022_20-28-00 | Received virt pos: (-0.010791,1.096152,0.004270)
17-05-2022_20-28-00 | Received real pos: (-0.010791,1.096152,0.004270)
17-05-2022_20-28-00 | Recommend Rotation: 0.000000
17-05-2022_20-28-00 | Received virt pos: (-0.010867,1.096078,0.004976)
17-05-2022_20-28-00 | Received real pos: (-0.010867,1.096078,0.004976)
17-05-2022_20-28-00 | Recommend Rotation: 0.000000
17-05-2022_20-28-00 | Received virt pos: (-0.010429,1.096011,0.005689)
17-05-2022_20-28-00 | Received real pos: (-0.010429,1.096011,0.005689)
17-05-2022_20-28-00 | Recommend Rotation: 0.000000
17-05-2022_20-28-00 | Received virt pos: (-0.010234,1.095949,0.006158)
17-05-2022_20-28-00 | Received real pos: (-0.010234,1.095949,0.006158)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.010037,1.095831,0.006577)
17-05-2022_20-28-00 | Received real pos: (-0.010037,1.095831,0.006577)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.009726,1.095715,0.007237)
17-05-2022_20-28-00 | Received real pos: (-0.009726,1.095715,0.007237)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.009255,1.095842,0.007840)
17-05-2022_20-28-00 | Received real pos: (-0.009255,1.095842,0.007840)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.008861,1.095866,0.008426)
17-05-2022_20-28-00 | Received real pos: (-0.008861,1.095866,0.008426)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.008705,1.096256,0.009525)
17-05-2022_20-28-00 | Received real pos: (-0.008705,1.096256,0.009525)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.008948,1.096799,0.011086)
17-05-2022_20-28-00 | Received real pos: (-0.008948,1.096799,0.011086)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.008809,1.097011,0.013223)
17-05-2022_20-28-00 | Received real pos: (-0.008809,1.097011,0.013223)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.008602,1.097357,0.016675)
17-05-2022_20-28-00 | Received real pos: (-0.008602,1.097357,0.016675)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.008674,1.097836,0.020369)
17-05-2022_20-28-00 | Received real pos: (-0.008674,1.097836,0.020369)
17-05-2022_20-28-00 | Recommend Rotation: 0.250000
17-05-2022_20-28-00 | Received virt pos: (-0.009426,1.098870,0.027717)
17-05-2022_20-28-00 | Received real pos: (-0.009426,1.098870,0.027717)
17-05-2022_20-28-00 | Recommend Rotation: 0.225741
17-05-2022_20-28-00 | Received virt pos: (-0.011581,1.099962,0.038599)
17-05-2022_20-28-00 | Received real pos: (-0.011581,1.099962,0.038599)
17-05-2022_20-28-00 | Recommend Rotation: 0.095994
17-05-2022_20-28-00 | Received virt pos: (-0.014140,1.100736,0.049666)
17-05-2022_20-28-00 | Received real pos: (-0.014140,1.100736,0.049666)
17-05-2022_20-28-00 | Recommend Rotation: 0.050164
17-05-2022_20-28-00 | Received virt pos: (-0.018521,1.101450,0.067537)
17-05-2022_20-28-00 | Received real pos: (-0.018521,1.101450,0.067537)
17-05-2022_20-28-00 | Recommend Rotation: 0.027224
17-05-2022_20-28-00 | Received virt pos: (-0.022442,1.101354,0.082245)
17-05-2022_20-28-00 | Received real pos: (-0.022442,1.101354,0.082245)
17-05-2022_20-28-00 | Recommend Rotation: 0.005785
17-05-2022_20-28-00 | Received virt pos: (-0.028411,1.101488,0.103458)
17-05-2022_20-28-00 | Received real pos: (-0.028411,1.101488,0.103458)
17-05-2022_20-28-00 | Recommend Rotation: -0.006316
17-05-2022_20-28-01 | Received virt pos: (-0.035108,1.103144,0.128417)
17-05-2022_20-28-01 | Received real pos: (-0.035108,1.103144,0.128417)
17-05-2022_20-28-01 | Recommend Rotation: 0.004669
17-05-2022_20-28-01 | Received virt pos: (-0.040375,1.103637,0.149015)
17-05-2022_20-28-01 | Received real pos: (-0.040375,1.103637,0.149015)
17-05-2022_20-28-01 | Recommend Rotation: 0.014192
17-05-2022_20-28-01 | Received virt pos: (-0.046860,1.101942,0.179975)
17-05-2022_20-28-01 | Received real pos: (-0.046860,1.101942,0.179975)
17-05-2022_20-28-01 | Recommend Rotation: 0.048113
17-05-2022_20-28-01 | Received virt pos: (-0.051386,1.097156,0.213058)
17-05-2022_20-28-01 | Received real pos: (-0.051386,1.097156,0.213058)
17-05-2022_20-28-01 | Recommend Rotation: 0.100552
17-05-2022_20-28-01 | Received virt pos: (-0.051884,1.095235,0.239842)
17-05-2022_20-28-01 | Received real pos: (-0.051884,1.095235,0.239842)
17-05-2022_20-28-01 | Recommend Rotation: 0.194275
17-05-2022_20-28-01 | Received virt pos: (-0.051357,1.090878,0.280021)
17-05-2022_20-28-01 | Received real pos: (-0.051357,1.090878,0.280021)
17-05-2022_20-28-01 | Recommend Rotation: 0.194317
17-05-2022_20-28-01 | Received virt pos: (-0.048711,1.084447,0.310947)
17-05-2022_20-28-01 | Received real pos: (-0.048711,1.084447,0.310947)
17-05-2022_20-28-01 | Recommend Rotation: 0.240494
17-05-2022_20-28-01 | Received virt pos: (-0.042178,1.077955,0.355092)
17-05-2022_20-28-01 | Received real pos: (-0.042178,1.077955,0.355092)
17-05-2022_20-28-01 | Recommend Rotation: 0.250000
17-05-2022_20-28-01 | Received virt pos: (-0.033409,1.070431,0.401094)
17-05-2022_20-28-01 | Received real pos: (-0.033409,1.070431,0.401094)
17-05-2022_20-28-01 | Recommend Rotation: 0.250000
17-05-2022_20-28-01 | Received virt pos: (-0.026217,1.066203,0.435290)
17-05-2022_20-28-01 | Received real pos: (-0.026217,1.066203,0.435290)
17-05-2022_20-28-01 | Recommend Rotation: 0.250000
17-05-2022_20-28-01 | Received virt pos: (-0.016281,1.065521,0.482293)
17-05-2022_20-28-01 | Received real pos: (-0.016281,1.065521,0.482293)
17-05-2022_20-28-01 | Recommend Rotation: 0.241942
17-05-2022_20-28-01 | Received virt pos: (-0.002025,1.082578,0.536888)
17-05-2022_20-28-01 | Received real pos: (-0.002025,1.082578,0.536888)
17-05-2022_20-28-01 | Recommend Rotation: 0.250000
17-05-2022_20-28-01 | Received virt pos: (0.007445,1.089571,0.569924)
17-05-2022_20-28-01 | Received real pos: (0.007445,1.089571,0.569924)
17-05-2022_20-28-01 | Recommend Rotation: 0.250000
17-05-2022_20-28-01 | Received virt pos: (0.019503,1.097641,0.611106)
17-05-2022_20-28-01 | Received real pos: (0.019503,1.097641,0.611106)
17-05-2022_20-28-01 | Recommend Rotation: 0.250000
17-05-2022_20-28-01 | Received virt pos: (0.029413,1.099767,0.643537)
17-05-2022_20-28-01 | Received real pos: (0.029413,1.099767,0.643537)
17-05-2022_20-28-01 | Recommend Rotation: 0.250000
17-05-2022_20-28-01 | Received virt pos: (0.041294,1.099841,0.682629)
17-05-2022_20-28-01 | Received real pos: (0.041294,1.099841,0.682629)
17-05-2022_20-28-01 | Recommend Rotation: 0.235061
17-05-2022_20-28-02 | Received virt pos: (0.052391,1.104276,0.726934)
17-05-2022_20-28-02 | Received real pos: (0.052391,1.104276,0.726934)
17-05-2022_20-28-02 | Recommend Rotation: 0.174038
17-05-2022_20-28-02 | Received virt pos: (0.060170,1.105425,0.760925)
17-05-2022_20-28-02 | Received real pos: (0.060170,1.105425,0.760925)
17-05-2022_20-28-02 | Recommend Rotation: 0.146757
17-05-2022_20-28-02 | Received virt pos: (0.069254,1.103904,0.808961)
17-05-2022_20-28-02 | Received real pos: (0.069254,1.103904,0.808961)
17-05-2022_20-28-02 | Recommend Rotation: 0.102328
17-05-2022_20-28-02 | Received virt pos: (0.075364,1.101032,0.846500)
17-05-2022_20-28-02 | Received real pos: (0.075364,1.101032,0.846500)
17-05-2022_20-28-02 | Recommend Rotation: 0.073507
17-05-2022_20-28-02 | Received virt pos: (0.082964,1.096068,0.898125)
17-05-2022_20-28-02 | Received real pos: (0.082964,1.096068,0.898125)
