Time,VirtualPosition,RealPosition,Recommendation
"2022-05-15 16:43:21","(0.000000,1.117600,0.000000)","(0.000000,1.117600,0.000000)",0.000000
"2022-05-15 16:43:21","(-0.017448,1.116343,0.094439)","(0.017448,-1.116343,-0.094439)",0.000000
"2022-05-15 16:43:21","(-0.019396,1.116284,0.094914)","(0.019396,-1.116284,-0.094914)",0.000000
"2022-05-15 16:43:21","(-0.019939,1.116278,0.094956)","(0.019939,-1.116278,-0.094956)",0.000000
"2022-05-15 16:43:21","(-0.020348,1.116438,0.094942)","(0.020348,-1.116438,-0.094942)",0.250000
"2022-05-15 16:43:21","(-0.021299,1.116361,0.095044)","(0.021299,-1.116361,-0.095044)",0.250000
"2022-05-15 16:43:21","(-0.021167,1.116598,0.094764)","(0.021167,-1.116598,-0.094764)",0.250000
"2022-05-15 16:43:21","(-0.021681,1.116598,0.094913)","(0.021681,-1.116598,-0.094913)",0.250000
"2022-05-15 16:43:21","(-0.022053,1.116684,0.095304)","(0.022053,-1.116684,-0.095304)",0.250000
"2022-05-15 16:43:21","(-0.022545,1.116060,0.096661)","(0.022545,-1.116060,-0.096661)",0.250000
"2022-05-15 16:43:21","(-0.023132,1.115121,0.098835)","(0.023132,-1.115121,-0.098835)",0.250000
"2022-05-15 16:43:21","(-0.025232,1.114035,0.102410)","(0.025232,-1.114035,-0.102410)",0.250000
"2022-05-15 16:43:21","(-0.027768,1.113372,0.108467)","(0.027768,-1.113372,-0.108467)",0.250000
"2022-05-15 16:43:21","(-0.029668,1.113056,0.114381)","(0.029668,-1.113056,-0.114381)",0.250000
"2022-05-15 16:43:22","(-0.032252,1.111983,0.124771)","(0.032252,-1.111983,-0.124771)",0.009123
"2022-05-15 16:43:22","(-0.034356,1.111445,0.135679)","(0.034356,-1.111445,-0.135679)",0.057383
"2022-05-15 16:43:22","(-0.036374,1.109006,0.153353)","(0.036374,-1.109006,-0.153353)",0.119151
"2022-05-15 16:43:22","(-0.037402,1.106572,0.174757)","(0.037402,-1.106572,-0.174757)",0.162726
"2022-05-15 16:43:22","(-0.037600,1.106275,0.193247)","(0.037600,-1.106275,-0.193247)",0.181378
"2022-05-15 16:43:22","(-0.036977,1.105855,0.220803)","(0.036977,-1.105855,-0.220803)",0.188414
"2022-05-15 16:43:22","(-0.035851,1.103562,0.245816)","(0.035851,-1.103562,-0.245816)",0.189683
"2022-05-15 16:43:22","(-0.032634,1.097750,0.282863)","(0.032634,-1.097750,-0.282863)",0.201351
"2022-05-15 16:43:22","(-0.027278,1.088724,0.325655)","(0.027278,-1.088724,-0.325655)",0.207936
"2022-05-15 16:43:22","(-0.022342,1.082053,0.360639)","(0.022342,-1.082053,-0.360639)",0.201926
"2022-05-15 16:43:22","(-0.013731,1.076136,0.410819)","(0.013731,-1.076136,-0.410819)",0.203284
"2022-05-15 16:43:22","(-0.005896,1.074855,0.450669)","(0.005896,-1.074855,-0.450669)",0.207173
"2022-05-15 16:43:22","(0.005476,1.081892,0.504969)","(-0.005476,-1.081892,-0.504969)",0.195645
"2022-05-15 16:43:22","(0.017774,1.097339,0.556608)","(-0.017774,-1.097339,-0.556608)",0.202022
"2022-05-15 16:43:22","(0.027088,1.106379,0.593514)","(-0.027088,-1.106379,-0.593514)",0.201841
"2022-05-15 16:43:22","(0.038408,1.111281,0.642801)","(-0.038408,-1.111281,-0.642801)",0.166438
"2022-05-15 16:43:22","(0.048081,1.115162,0.692594)","(-0.048081,-1.115162,-0.692594)",0.123079
"2022-05-15 16:43:22","(0.055418,1.117802,0.729279)","(-0.055418,-1.117802,-0.729279)",0.122137
"2022-05-15 16:43:22","(0.064473,1.120530,0.779133)","(-0.064473,-1.120530,-0.779133)",0.097863
"2022-05-15 16:43:22","(0.070670,1.121777,0.817688)","(-0.070670,-1.121777,-0.817688)",0.074015
"2022-05-15 16:43:22","(0.078654,1.118520,0.870009)","(-0.078654,-1.118520,-0.870009)",0.062275
"2022-05-15 16:43:22","(0.084763,1.112574,0.925154)","(-0.084763,-1.112574,-0.925154)",0.020123
"2022-05-15 16:43:22","(0.088886,1.104232,0.968215)","(-0.088886,-1.104232,-0.968215)",0.005189
"2022-05-15 16:43:23","(0.094444,1.092766,1.026056)","(-0.094444,-1.092766,-1.026056)",0.005464
"2022-05-15 16:43:23","(0.097039,1.088970,1.072199)","(-0.097039,-1.088970,-1.072199)",0.250000
"2022-05-15 16:43:23","(0.099982,1.087933,1.135419)","(-0.099982,-1.087933,-1.135419)",0.250000
"2022-05-15 16:43:23","(0.102120,1.100540,1.198686)","(-0.102120,-1.100540,-1.198686)",0.250000
"2022-05-15 16:43:23","(0.103897,1.110609,1.243021)","(-0.103897,-1.110609,-1.243021)",0.250000
"2022-05-15 16:43:23","(0.107647,1.115755,1.299425)","(-0.107647,-1.115755,-1.299425)",0.250000
