20-05-2022_12-22-36 | Received virt pos: (0.000000,1.117600,0.000000)
20-05-2022_12-22-36 | Received real pos: (0.000000,1.117600,0.000000)
20-05-2022_12-22-36 | Recommend Rotation: 0.000000
20-05-2022_12-22-36 | Received virt pos: (0.018143,1.133026,0.187679)
20-05-2022_12-22-36 | Received real pos: (0.203707,1.290810,2.107512)
20-05-2022_12-22-36 | Recommend Rotation: 0.000000
20-05-2022_12-22-36 | Received virt pos: (0.016689,1.132482,0.190810)
20-05-2022_12-22-36 | Received real pos: (0.001839,1.126918,0.222763)
20-05-2022_12-22-36 | Recommend Rotation: 0.000000
20-05-2022_12-22-36 | Received virt pos: (0.015055,1.132246,0.192437)
20-05-2022_12-22-36 | Received real pos: (-0.001662,1.129832,0.209105)
20-05-2022_12-22-36 | Recommend Rotation: 0.000000
20-05-2022_12-22-36 | Received virt pos: (0.014614,1.131982,0.192463)
20-05-2022_12-22-36 | Received real pos: (0.010097,1.129281,0.192661)
20-05-2022_12-22-36 | Recommend Rotation: -0.250000
20-05-2022_12-22-36 | Received virt pos: (0.014188,1.131845,0.193129)
20-05-2022_12-22-36 | Received real pos: (0.009832,1.130444,0.199858)
20-05-2022_12-22-36 | Recommend Rotation: -0.250000
20-05-2022_12-22-36 | Received virt pos: (0.014145,1.132029,0.194011)
20-05-2022_12-22-36 | Received real pos: (0.013696,1.133912,0.203266)
20-05-2022_12-22-36 | Recommend Rotation: -0.115682
20-05-2022_12-22-36 | Received virt pos: (0.014335,1.131661,0.194807)
20-05-2022_12-22-36 | Received real pos: (0.016282,1.127897,0.202773)
20-05-2022_12-22-36 | Recommend Rotation: 0.159536
20-05-2022_12-22-36 | Received virt pos: (0.015012,1.130837,0.196805)
20-05-2022_12-22-36 | Received real pos: (0.021942,1.122408,0.217219)
20-05-2022_12-22-36 | Recommend Rotation: 0.226524
20-05-2022_12-22-36 | Received virt pos: (0.015882,1.129308,0.198985)
20-05-2022_12-22-36 | Received real pos: (0.024776,1.113669,0.221267)
20-05-2022_12-22-36 | Recommend Rotation: 0.250000
20-05-2022_12-22-36 | Received virt pos: (0.016911,1.128613,0.202159)
20-05-2022_12-22-36 | Received real pos: (0.027426,1.121504,0.234666)
20-05-2022_12-22-36 | Recommend Rotation: 0.196579
20-05-2022_12-22-36 | Received virt pos: (0.019424,1.128884,0.210368)
20-05-2022_12-22-36 | Received real pos: (0.045140,1.131655,0.294411)
20-05-2022_12-22-36 | Recommend Rotation: 0.144983
20-05-2022_12-22-36 | Received virt pos: (0.023200,1.126490,0.223438)
20-05-2022_12-22-36 | Received real pos: (0.061811,1.102004,0.357046)
20-05-2022_12-22-36 | Recommend Rotation: 0.110189
20-05-2022_12-22-36 | Received virt pos: (0.027010,1.123774,0.235903)
20-05-2022_12-22-36 | Received real pos: (0.065999,1.095994,0.363464)
20-05-2022_12-22-36 | Recommend Rotation: 0.117303
20-05-2022_12-22-36 | Received virt pos: (0.033175,1.121141,0.257986)
20-05-2022_12-22-36 | Received real pos: (0.096224,1.094209,0.483777)
20-05-2022_12-22-36 | Recommend Rotation: 0.076527
20-05-2022_12-22-36 | Received virt pos: (0.040231,1.121444,0.285952)
20-05-2022_12-22-36 | Received real pos: (0.112398,1.124543,0.572120)
