17-05-2022_20-23-51 | Received virt pos: (0.000000,1.117600,0.000000)
17-05-2022_20-23-51 | Received real pos: (0.000000,1.117600,0.000000)
17-05-2022_20-23-51 | Recommend Rotation: 0.000000
17-05-2022_20-23-51 | Received virt pos: (0.011162,1.110591,0.090855)
17-05-2022_20-23-51 | Received real pos: (0.011162,1.110591,0.090855)
17-05-2022_20-23-51 | Recommend Rotation: 0.000000
17-05-2022_20-23-51 | Received virt pos: (0.010499,1.110481,0.091220)
17-05-2022_20-23-51 | Received real pos: (0.010499,1.110481,0.091220)
17-05-2022_20-23-51 | Recommend Rotation: 0.000000
17-05-2022_20-23-51 | Received virt pos: (0.010499,1.110481,0.091220)
17-05-2022_20-23-51 | Received real pos: (0.010499,1.110481,0.091220)
17-05-2022_20-23-51 | Recommend Rotation: 0.000000
17-05-2022_20-23-51 | Received virt pos: (0.010499,1.110481,0.091220)
17-05-2022_20-23-51 | Received real pos: (0.010499,1.110481,0.091220)
17-05-2022_20-23-51 | Recommend Rotation: 0.000000
17-05-2022_20-23-51 | Received virt pos: (0.010256,1.110350,0.091851)
17-05-2022_20-23-51 | Received real pos: (0.010256,1.110350,0.091851)
17-05-2022_20-23-51 | Recommend Rotation: 0.000000
17-05-2022_20-23-51 | Received virt pos: (0.010113,1.110503,0.091796)
17-05-2022_20-23-51 | Received real pos: (0.010113,1.110503,0.091796)
17-05-2022_20-23-51 | Recommend Rotation: 0.250000
17-05-2022_20-23-51 | Received virt pos: (0.009995,1.110632,0.091798)
17-05-2022_20-23-51 | Received real pos: (0.009995,1.110632,0.091798)
17-05-2022_20-23-51 | Recommend Rotation: -0.250000
17-05-2022_20-23-51 | Received virt pos: (0.010021,1.110644,0.091866)
17-05-2022_20-23-51 | Received real pos: (0.010021,1.110644,0.091866)
17-05-2022_20-23-51 | Recommend Rotation: 0.250000
17-05-2022_20-23-51 | Received virt pos: (0.010177,1.110558,0.091813)
17-05-2022_20-23-51 | Received real pos: (0.010177,1.110558,0.091813)
17-05-2022_20-23-51 | Recommend Rotation: 0.250000
17-05-2022_20-23-51 | Received virt pos: (0.010580,1.110441,0.092266)
17-05-2022_20-23-51 | Received real pos: (0.010580,1.110441,0.092266)
17-05-2022_20-23-51 | Recommend Rotation: 0.250000
17-05-2022_20-23-51 | Received virt pos: (0.012381,1.110006,0.093223)
17-05-2022_20-23-51 | Received real pos: (0.012381,1.110006,0.093223)
17-05-2022_20-23-51 | Recommend Rotation: 0.250000
