15-05-2022_16-43-21 | Received virt pos: (0.000000,1.117600,0.000000)
15-05-2022_16-43-21 | Received real pos: (0.000000,1.117600,0.000000)
15-05-2022_16-43-21 | Recommend Rotation: 0.000000
15-05-2022_16-43-21 | Received virt pos: (-0.017448,1.116343,0.094439)
15-05-2022_16-43-21 | Received real pos: (0.017448,-1.116343,-0.094439)
15-05-2022_16-43-21 | Recommend Rotation: 0.000000
15-05-2022_16-43-21 | Received virt pos: (-0.019396,1.116284,0.094914)
15-05-2022_16-43-21 | Received real pos: (0.019396,-1.116284,-0.094914)
15-05-2022_16-43-21 | Recommend Rotation: 0.000000
15-05-2022_16-43-21 | Received virt pos: (-0.019939,1.116278,0.094956)
15-05-2022_16-43-21 | Received real pos: (0.019939,-1.116278,-0.094956)
15-05-2022_16-43-21 | Recommend Rotation: 0.000000
15-05-2022_16-43-21 | Received virt pos: (-0.020348,1.116438,0.094942)
15-05-2022_16-43-21 | Received real pos: (0.020348,-1.116438,-0.094942)
15-05-2022_16-43-21 | Recommend Rotation: 0.250000
15-05-2022_16-43-21 | Received virt pos: (-0.021299,1.116361,0.095044)
15-05-2022_16-43-21 | Received real pos: (0.021299,-1.116361,-0.095044)
15-05-2022_16-43-21 | Recommend Rotation: 0.250000
15-05-2022_16-43-21 | Received virt pos: (-0.021167,1.116598,0.094764)
15-05-2022_16-43-21 | Received real pos: (0.021167,-1.116598,-0.094764)
15-05-2022_16-43-21 | Recommend Rotation: 0.250000
15-05-2022_16-43-21 | Received virt pos: (-0.021681,1.116598,0.094913)
15-05-2022_16-43-21 | Received real pos: (0.021681,-1.116598,-0.094913)
15-05-2022_16-43-21 | Recommend Rotation: 0.250000
15-05-2022_16-43-21 | Received virt pos: (-0.022053,1.116684,0.095304)
15-05-2022_16-43-21 | Received real pos: (0.022053,-1.116684,-0.095304)
15-05-2022_16-43-21 | Recommend Rotation: 0.250000
15-05-2022_16-43-21 | Received virt pos: (-0.022545,1.116060,0.096661)
15-05-2022_16-43-21 | Received real pos: (0.022545,-1.116060,-0.096661)
15-05-2022_16-43-21 | Recommend Rotation: 0.250000
15-05-2022_16-43-21 | Received virt pos: (-0.023132,1.115121,0.098835)
15-05-2022_16-43-21 | Received real pos: (0.023132,-1.115121,-0.098835)
15-05-2022_16-43-21 | Recommend Rotation: 0.250000
15-05-2022_16-43-21 | Received virt pos: (-0.025232,1.114035,0.102410)
15-05-2022_16-43-21 | Received real pos: (0.025232,-1.114035,-0.102410)
15-05-2022_16-43-21 | Recommend Rotation: 0.250000
15-05-2022_16-43-21 | Received virt pos: (-0.027768,1.113372,0.108467)
